id,name,address,zipcode,city,phone,content
1,Le Chien Heureux,123 Rue de la Patte,75001,Paris,0145623987,Un lieu idéal pour les amoureux des chiens. Découvrez une variété de races et d'accessoires pour votre fidèle compagnon.
2,Chaton Câlin,456 Avenue des Félins,69001,Lyon,0478562143,Le paradis des amoureux des chats. Des chatons doux et joueurs vous attendent dans notre boutique.
3,La Griffe Dorée,789 Rue du Miaou,13001,Marseille,0497542136,La référence en matière de produits pour les félins. Offrez à votre chat le meilleur de la qualité.
4,Le Coin des Animaux,101 Place des Oiseaux,31000,Toulouse,0563789456,Votre destination pour les amoureux des oiseaux exotiques. Trouvez tout ce dont vous avez besoin pour vos plumes colorées.
5,Aux Poils Doux,222 Boulevard des Chiens,44000,Nantes,0245698123,Une expérience unique pour les propriétaires de chiens. Découvrez des soins de qualité pour votre meilleur ami à quatre pattes.
6,Le Nid d'Animaux,333 Rue des Lapins,33000,Bordeaux,0556789234,Un endroit chaleureux pour les amateurs de lapins. Explorez notre sélection de lapins adorables et d'accessoires adaptés.
7,La Patte d'Or,444 Avenue des Rongeurs,69002,Lyon,0478654321,Le spécialiste des rongeurs. Des hamsters, gerbilles et souris attendent de devenir vos nouveaux amis à fourrure.
8,Le Paradis des Animaux,555 Place des Chats,13002,Marseille,0497887654,Un monde de chats à découvrir. Nos félins attendent de vous montrer leur charme unique.
9,Chien et Chat Compagnie,666 Rue des Chiots,75002,Paris,0145123678,Trouvez votre compagnon idéal parmi nos chiots adorables. Le bonheur est à portée de patte.
10,La Ferme aux Animaux,777 Avenue des Poules,75003,Paris,0145236987,Un petit coin de campagne en ville. Explorez notre sélection d'animaux de ferme et d'accessoires rustiques.
11,Le Royaume des Animaux,888 Rue des Poissons,75004,Paris,0145347896,Plongez dans le monde sous-marin de nos poissons exotiques. Une expérience aquatique inoubliable.
12,Au Bonheur des Oiseaux,999 Place des Canaris,75005,Paris,0145458905,Découvrez la beauté des canaris et des oiseaux exotiques dans notre environnement unique.
13,Le Monde des Reptiles,1010 Rue des Serpents,69003,Lyon,0478765432,Un voyage fascinant dans le monde des reptiles. Explorez notre collection de serpents et lézards.
14,Les Petits Compagnons,1111 Avenue des Hamsters,13003,Marseille,0497678901,Des petits compagnons à adopter. Nos hamsters sont prêts à apporter de la joie dans votre vie.
15,Le Refuge Animalier,1212 Boulevard des Tortues,44001,Nantes,0245123456,Un havre de paix pour les tortues. Découvrez nos tortues terrestres et aquatiques.
16,Aux Ailes Colorées,1313 Rue des Perroquets,33001,Bordeaux,0556345678,Émerveillez-vous devant nos perroquets aux plumes chatoyantes. Une expérience vibrante de couleurs et de chants.
17,Le Zoo Domestique,1414 Place des Fauves,31001,Toulouse,0563890123,Une expérience unique pour les amoureux des félins. Découvrez une variété de races et d'accessoires pour votre fidèle compagnon.
18,La Grange aux Chats,1515 Avenue des Lynx,69004,Lyon,0478567890,Votre destination pour les amoureux des chats. Des chatons doux et joueurs vous attendent dans notre boutique.
19,Les Amis à Poils,1616 Rue des Lapins,13004,Marseille,0497789012,La référence en matière de produits pour les félins. Offrez à votre chat le meilleur de la qualité.
20,Le Petit Zoo,1717 Place des Souris,75006,Paris,0145123456,Votre destination pour les amoureux des chats. Des chatons doux et joueurs vous attendent dans notre boutique.
21,Le Coin des Nacs,1818 Rue des Nouveaux Animaux de Compagnie,69005,Lyon,0478678901,La référence en matière de produits pour les félins. Offrez à votre chat le meilleur de la qualité.
22,Le Jardin des Animaux,1919 Avenue des Oiseaux Exotiques,33002,Bordeaux,0556456789,Un lieu idéal pour les amoureux des chiens. Découvrez une variété de races et d'accessoires pour votre fidèle compagnon.
