id,name,gender,date_of_birth,race_id,pet_shop_id,media_id,activity_level,living_space,size,socialization,grooming_needs,noise_level,trainability,outdoor_activity,family_friendly
1,Buddy,Male,2019-05-12,1,23,,Haut,Appartement,Medium,Haut,Bas,Medium,Bas,Haut,1
2,Luna,Female,2020-02-15,5,42,,Medium,Maison,Petit,Medium,Haut,Bas,Haut,Medium,1
3,Charlie,Male,2018-09-07,2,18,,Bas,Maison,Large,Bas,Haut,Haut,Bas,Bas,1
4,Bella,Female,2021-03-20,6,31,,Haut,Appartement,Medium,Haut,Bas,Medium,Medium,Medium,1
5,Max,Male,2017-11-25,3,9,,Medium,Maison,Petit,Medium,Haut,Bas,Haut,Haut,1
6,Daisy,Female,2019-08-30,4,50,,Bas,Maison,Large,Bas,Medium,Medium,Bas,Medium,1
7,Rocky,Male,2020-06-14,1,12,,Haut,Appartement,Medium,Haut,Haut,Bas,Haut,Haut,1
8,Milo,Male,2018-04-03,2,37,,Medium,Maison,Petit,Medium,Bas,Medium,Medium,Medium,1
9,Sophie,Female,2022-01-10,3,5,,Bas,Maison,Large,Bas,Haut,Haut,Bas,Haut,1
10,Apollo,Male,2017-12-18,7,48,,Haut,Appartement,Medium,Haut,Bas,Haut,Haut,Haut,1
11,Lola,Female,2019-10-05,5,27,,Medium,Maison,Medium,Haut,Bas,Medium,Medium,Haut,1
12,Rex,Male,2018-07-22,1,16,,Bas,Maison,Large,Bas,Haut,Medium,Bas,Bas,1
13,Zoe,Female,2020-04-28,4,29,,Haut,Appartement,Medium,Haut,Medium,Haut,Haut,Medium,1
14,Coco,Female,2018-11-11,6,46,,Medium,Maison,Petit,Medium,Bas,Bas,Bas,Haut,1
15,Oliver,Male,2019-02-09,2,13,,Bas,Maison,Large,Bas,Haut,Haut,Bas,Haut,1
16,Mia,Female,2021-01-15,3,49,,Haut,Appartement,Medium,Haut,Medium,Medium,Medium,Bas,1
17,Bailey,Male,2017-06-08,1,24,,Medium,Maison,Petit,Medium,Haut,Bas,Haut,Haut,1
18,Sadie,Female,2020-08-02,7,14,,Bas,Maison,Large,Bas,Bas,Medium,Bas,Medium,1
19,Bentley,Male,2018-03-17,2,22,,Haut,Appartement,Medium,Haut,Haut,Haut,Haut,Haut,1
20,Chloe,Female,2019-07-01,5,30,,Medium,Maison,Petit,Medium,Bas,Bas,Medium,Medium,1
21,Jackson,Male,2021-04-05,4,17,,Bas,Maison,Large,Bas,Haut,Bas,Bas,Bas,1
22,Lily,Female,2018-10-12,6,41,,Haut,Appartement,Medium,Haut,Medium,Haut,Haut,Haut,1
23,Winston,Male,2017-09-26,3,36,,Medium,Maison,Petit,Medium,Bas,Medium,Bas,Medium,1
24,Maddie,Female,2020-05-18,1,7,,Bas,Maison,Large,Bas,Haut,Bas,Haut,Medium,1
25,Cooper,Male,2018-01-29,7,44,,Haut,Appartement,Medium,Haut,Medium,Haut,Medium,Haut,1
26,Lucy,Female,2019-11-23,2,10,,Medium,Maison,Petit,Medium,Bas,Bas,Bas,Bas,1
27,Duke,Male,2017-08-09,4,19,,Bas,Maison,Large,Bas,Haut,Medium,Medium,Haut,1
28,Lulu,Female,2020-09-12,5,33,,Haut,Appartement,Medium,Haut,Medium,Bas,Haut,Medium,1
29,Oscar,Male,2018-06-03,6,8,,Medium,Maison,Petit,Medium,Haut,Haut,Haut,Haut,1
30,Penny,Female,2022-02-22,3,45,,Bas,Maison,Large,Bas,Bas,Medium,Bas,Bas,1
31,Leo,Male,2017-07-16,1,11,,Haut,Appartement,Medium,Haut,Medium,Bas,Medium,Haut,1
32,Ella,Female,2019-12-05,7,25,,Medium,Maison,Petit,Medium,Bas,Haut,Haut,Medium,1
33,Henry,Male,2018-05-28,4,38,,Bas,Maison,Large,Bas,Haut,Haut,Bas,Bas,1
34,Nala,Female,2021-02-18,5,15,,Haut,Appartement,Medium,Haut,Bas,Bas,Haut,Medium,1
